customer_id,customer_name,email,gender,age,city,signup_date,customer_segment
10001,Customer_1,customer1@email.com,Male,64,Delhi,2023-07-12,New
10002,Customer_2,customer2@email.com,Female,64,Ahmedabad,2023-12-26,New
10003,Customer_3,customer3@email.com,Male,21,Delhi,2023-03-03,New
10004,Customer_4,customer4@email.com,Male,24,Chennai,2023-08-20,Regular
10005,Customer_5,customer5@email.com,Male,62,Kolkata,2021-11-13,Regular
10006,Customer_6,customer6@email.com,Female,52,Bangalore,2023-07-31,Regular
10007,Customer_7,customer7@email.com,Male,26,Pune,2022-09-18,Premium
10008,Customer_8,customer8@email.com,Male,25,Hyderabad,2021-03-16,Regular
10009,Customer_9,customer9@email.com,Male,62,Jaipur,2023-07-28,Regular
10010,Customer_10,customer10@email.com,Female,34,Lucknow,2021-02-28,Regular
10011,Customer_11,customer11@email.com,Male,34,Bangalore,2022-01-21,Regular
10012,Customer_12,customer12@email.com,Male,50,Pune,2021-01-15,Regular
10013,Customer_13,customer13@email.com,Male,49,Lucknow,2021-07-18,New
10014,Customer_14,customer14@email.com,Male,25,Ahmedabad,2021-02-04,Premium
10015,Customer_15,customer15@email.com,Female,36,Lucknow,2021-06-11,Regular
10016,Customer_16,customer16@email.com,Male,55,Mumbai,2023-09-09,New
10017,Customer_17,customer17@email.com,Female,20,Bangalore,2023-03-10,Regular
10018,Customer_18,customer18@email.com,Female,22,Delhi,2023-06-14,New
10019,Customer_19,customer19@email.com,Female,30,Kolkata,2022-04-16,New
10020,Customer_20,customer20@email.com,Male,64,Jaipur,2022-06-15,New
10021,Customer_21,customer21@email.com,Female,63,Delhi,2023-03-03,Regular
10022,Customer_22,customer22@email.com,Male,48,Pune,2023-05-02,Regular
10023,Customer_23,customer23@email.com,Female,33,Bangalore,2021-12-14,Regular
10024,Customer_24,customer24@email.com,Female,49,Kolkata,2022-11-25,New
10025,Customer_25,customer25@email.com,Female,39,Lucknow,2023-07-24,Regular
10026,Customer_26,customer26@email.com,Female,46,Bangalore,2023-07-02,Regular
10027,Customer_27,customer27@email.com,Female,39,Lucknow,2021-05-27,New
10028,Customer_28,customer28@email.com,Female,60,Ahmedabad,2022-11-06,Regular
10029,Customer_29,customer29@email.com,Female,20,Mumbai,2022-11-18,New
10030,Customer_30,customer30@email.com,Female,27,Chennai,2023-08-18,New
10031,Customer_31,customer31@email.com,Male,59,Bangalore,2022-11-17,Regular
10032,Customer_32,customer32@email.com,Male,38,Pune,2024-02-01,Regular
10033,Customer_33,customer33@email.com,Female,33,Lucknow,2021-05-01,New
10034,Customer_34,customer34@email.com,Female,29,Delhi,2022-02-23,New
10035,Customer_35,customer35@email.com,Female,19,Ahmedabad,2021-12-16,New
10036,Customer_36,customer36@email.com,Male,58,Pune,2021-02-11,New
10037,Customer_37,customer37@email.com,Female,41,Jaipur,2021-01-29,New
10038,Customer_38,customer38@email.com,Male,52,Chennai,2023-08-24,New
10039,Customer_39,customer39@email.com,Male,47,Ahmedabad,2023-02-24,Regular
10040,Customer_40,customer40@email.com,Male,47,Mumbai,2021-01-14,Regular
10041,Customer_41,customer41@email.com,Male,64,Chennai,2023-07-09,Regular
10042,Customer_42,customer42@email.com,Male,52,Lucknow,2023-03-29,Regular
10043,Customer_43,customer43@email.com,Female,36,Pune,2023-04-05,New
10044,Customer_44,customer44@email.com,Female,25,Jaipur,2023-05-22,New
10045,Customer_45,customer45@email.com,Female,43,Hyderabad,2021-10-22,Premium
10046,Customer_46,customer46@email.com,Female,57,Mumbai,2023-05-14,New
10047,Customer_47,customer47@email.com,Female,24,Kolkata,2022-07-02,New
10048,Customer_48,customer48@email.com,Male,47,Lucknow,2023-11-27,New
10049,Customer_49,customer49@email.com,Female,24,Hyderabad,2023-10-05,Regular
10050,Customer_50,customer50@email.com,Female,20,Bangalore,2023-11-04,Regular
10051,Customer_51,customer51@email.com,Male,18,Jaipur,2022-09-27,Premium
